env_id	c	omega	kappa	final_D	final_A	divergence_rate
toyexample	1e-05	0.0554170059629	22.3652566352	NaN	NaN	1
toyexample	0.001	0.0554170059629	22.3652566352	2975.92527572	40911.749579	0.125
toyexample	0.1	0.0554170059629	22.3652566352	0.0416689982575	0.339374992937	0
toyexample	1	0.0554170059629	22.3652566352	0.486748133785	3.14956151976	0
toyexample	1000	0.0554170059629	22.3652566352	0.677090429523	4.36912327156	0
E1	1e-05	0.005	1	0	0	0
E1	0.001	0.005	1	0	0	0
E1	0.1	0.005	1	0	0	0
E1	1	0.005	1	0	0	0
E1	1000	0.005	1	0	0	0
E2	1e-05	1.24990625469e-07	40002.000075	0	0	0
E2	0.001	1.24990625469e-07	40002.000075	0	0	0
E2	0.1	1.24990625469e-07	40002.000075	0	0	0
E2	1	1.24990625469e-07	40002.000075	0	0	0
E2	1000	1.24990625469e-07	40002.000075	0	0	0
E3	1e-05	1.24990625469e-07	40002.000075	0	0	0
E3	0.001	1.24990625469e-07	40002.000075	0	0	0
E3	0.1	1.24990625469e-07	40002.000075	0	0	0
E3	1	1.24990625469e-07	40002.000075	0	0	0
E3	1000	1.24990625469e-07	40002.000075	0	0	0
E4	1e-05	8.33270836458e-08	40002.000075	0	0	0
E4	0.001	8.33270836458e-08	40002.000075	0	0	0
E4	0.1	8.33270836458e-08	40002.000075	0	0	0
E4	1	8.33270836458e-08	40002.000075	0	0	0
E4	1000	8.33270836458e-08	40002.000075	0	0	0
E5	1e-05	0.0005	1	0	0	0
E5	0.001	0.0005	1	0	0	0
E5	0.1	0.0005	1	0	0	0
E5	1	0.0005	1	0	0	0
E5	1000	0.0005	1	0	0	0
E6	1e-05	8.33333333333e-05	1	0	0	0
E6	0.001	8.33333333333e-05	1	0	0	0
E6	0.1	8.33333333333e-05	1	0	0	0
E6	1	8.33333333333e-05	1	0	0	0
E6	1000	8.33333333333e-05	1	0	0	0
E7	1e-05	0.005	1	1.20597823437e+37	1.20597823437e+37	1
E7	0.001	0.005	1	0.663797110372	0.663797110372	0
E7	0.1	0.005	1	0.394237771422	0.394237771422	0
E7	1	0.005	1	0.0109148086843	0.0109148086843	0
E7	1000	0.005	1	8.42020226761e-09	8.42020226761e-09	0
E8	1e-05	0.00015625	1	0	0	0
E8	0.001	0.00015625	1	0	0	0
E8	0.1	0.00015625	1	0	0	0
E8	1	0.00015625	1	0	0	0
E8	1000	0.00015625	1	0	0	0
E9	1e-05	2.71539685162e-05	4.63543348483	0	0	0
E9	0.001	2.71539685162e-05	4.63543348483	0	0	0
E9	0.1	2.71539685162e-05	4.63543348483	0	0	0
E9	1	2.71539685162e-05	4.63543348483	0	0	0
E9	1000	2.71539685162e-05	4.63543348483	0	0	0
E10	1e-05	0.0008335	2.99940011998	0	0	0
E10	0.001	0.0008335	2.99940011998	0	0	0
E10	0.1	0.0008335	2.99940011998	0	0	0
E10	1	0.0008335	2.99940011998	0	0	0
E10	1000	0.0008335	2.99940011998	0	0	0
E11	1e-05	6.79670595032e-09	28846.1538462	0	0	0
E11	0.001	6.79670595032e-09	28846.1538462	0	0	0
E11	0.1	6.79670595032e-09	28846.1538462	0	0	0
E11	1	6.79670595032e-09	28846.1538462	0	0	0
E11	1000	6.79670595032e-09	28846.1538462	0	0	0
E12	1e-05	5e-08	10000	4.42335370544e+67	5.28486962753e+67	1
E12	0.001	5e-08	10000	69.7540151241	83.4347545277	0
E12	0.1	5e-08	10000	70.0616102074	83.8557607085	0
E12	1	5e-08	10000	69.6865035088	83.4822704898	0
E12	1000	5e-08	10000	69.6765050106	83.4724530011	0
